ID,Nacionalidad,Tipo de Sonido,Jugadores,Fichas,Salon,Juego
25,China,ESTEREO,3,568,Salon VR,Arkanoid
58,China,MONO,3,676,Salon Carreras,Arkanoid
87,China,ESTEREO,1,322,Salon 2,Arkanoid
93,Philippines,ESTEREO,3,240,Salon Retro,Arkanoid
95,United States,MONO,2,436,Salon 6,Arkanoid
115,United States,ESTEREO,1,354,Salon 5,Arkanoid
125,Greece,ESTEREO,3,404,Salon 4,Arkanoid
131,South Africa,MONO,2,580,Salon 5,Arkanoid
187,Comoros,ESTEREO,2,550,Salon 5,Arkanoid
188,Sweden,MONO,5,898,Salon Carreras,Arkanoid
192,Sweden,MONO,1,290,Salon 5,Arkanoid
195,Sweden,MONO,1,678,Salon 3,Arkanoid
205,Sweden,ESTEREO,1,1000,Salon 2021,Arkanoid
251,Mongolia,MONO,3,348,Salon Carreras,Arkanoid
262,Nigeria,MONO,4,564,Salon 2021,Arkanoid
293,Nigeria,MONO,1,788,Salon Carreras,Arkanoid
297,Senegal,ESTEREO,2,734,Salon 6,Arkanoid
326,China,MONO,1,846,Salon Retro,Arkanoid
335,Ukraine,MONO,3,432,Salon 4,Arkanoid
341,Russia,ESTEREO,4,458,Salon VR,Arkanoid
353,Japan,MONO,5,368,Salon 4,Arkanoid
369,United Kingdom,ESTEREO,4,404,Salon Carreras,Arkanoid
371,China,MONO,1,788,Salon Carreras,Arkanoid
391,China,ESTEREO,4,846,Salon 4,Arkanoid
393,Philippines,ESTEREO,3,672,Salon Retro,Arkanoid
439,China,ESTEREO,3,402,Salon VR,Arkanoid
474,Indonesia,MONO,4,284,Salon 5,Arkanoid
488,Argentina,MONO,4,792,Salon VR,Arkanoid
492,Portugal,ESTEREO,5,398,Salon Carreras,Arkanoid
28,Sweden,MONO,2,294,Salon Retro,Asteroids
30,France,MONO,4,960,Salon 1,Asteroids
36,Indonesia,ESTEREO,5,938,Salon 2021,Asteroids
73,China,MONO,4,334,Salon 2,Asteroids
77,Poland,ESTEREO,3,244,Salon 3,Asteroids
130,Argentina,ESTEREO,2,364,Salon 2021,Asteroids
136,Armenia,MONO,3,748,Salon 4,Asteroids
163,Russia,MONO,3,876,Salon 3,Asteroids
165,Venezuela,ESTEREO,5,396,Salon 5,Asteroids
168,Brazil,MONO,2,326,Salon 1,Asteroids
240,Russia,ESTEREO,1,572,Salon 2021,Asteroids
286,Poland,ESTEREO,4,478,Salon 5,Asteroids
331,China,ESTEREO,5,660,Salon Carreras,Asteroids
362,Democratic Republic of the Congo,MONO,2,762,Salon 6,Asteroids
420,Sweden,ESTEREO,2,366,Salon 3,Asteroids
422,Cameroon,MONO,1,602,Salon 3,Asteroids
442,Dominican Republic,MONO,4,548,Salon 4,Asteroids
482,Russia,ESTEREO,5,708,Salon 4,Asteroids
3,Philippines,ESTEREO,5,828,Salon Carreras,Bubble Bobble
7,Indonesia,MONO,2,856,Salon 1,Bubble Bobble
22,Philippines,ESTEREO,3,912,Salon 6,Bubble Bobble
26,Cyprus,ESTEREO,3,964,Salon Retro,Bubble Bobble
50,Portugal,MONO,4,588,Salon 3,Bubble Bobble
83,China,MONO,1,664,Salon 5,Bubble Bobble
94,China,ESTEREO,5,884,Salon Retro,Bubble Bobble
99,Philippines,ESTEREO,4,548,Salon Retro,Bubble Bobble
108,Russia,ESTEREO,3,954,Salon 6,Bubble Bobble
124,China,MONO,2,368,Salon 2021,Bubble Bobble
166,Sweden,MONO,2,394,Salon 1,Bubble Bobble
174,South Africa,ESTEREO,5,756,Salon VR,Bubble Bobble
178,Belarus,ESTEREO,2,850,Salon Carreras,Bubble Bobble
179,Benin,MONO,3,476,Salon 1,Bubble Bobble
184,Sweden,MONO,3,510,Salon 6,Bubble Bobble
197,Brazil,ESTEREO,1,578,Salon 5,Bubble Bobble
206,United States,ESTEREO,5,634,Salon 6,Bubble Bobble
242,Indonesia,ESTEREO,4,924,Salon 2,Bubble Bobble
254,China,ESTEREO,5,422,Salon 1,Bubble Bobble
266,China,ESTEREO,2,276,Salon Carreras,Bubble Bobble
270,Sweden,ESTEREO,3,712,Salon 6,Bubble Bobble
274,Russia,ESTEREO,3,712,Salon 1,Bubble Bobble
275,Martinique,MONO,1,648,Salon Carreras,Bubble Bobble
281,Greece,MONO,5,476,Salon 4,Bubble Bobble
284,Bolivia,ESTEREO,1,776,Salon 5,Bubble Bobble
305,France,ESTEREO,5,534,Salon 6,Bubble Bobble
316,Czech Republic,ESTEREO,1,270,Salon 2021,Bubble Bobble
320,Portugal,ESTEREO,3,664,Salon VR,Bubble Bobble
365,Ethiopia,ESTEREO,4,976,Salon 2021,Bubble Bobble
372,Russia,ESTEREO,4,442,Salon Retro,Bubble Bobble
380,Indonesia,MONO,2,276,Salon 5,Bubble Bobble
385,Bosnia and Herzegovina,MONO,1,632,Salon 2021,Bubble Bobble
409,Peru,ESTEREO,1,418,Salon VR,Bubble Bobble
415,China,ESTEREO,3,824,Salon VR,Bubble Bobble
426,Nigeria,ESTEREO,1,602,Salon 1,Bubble Bobble
